artist,release,label,cat_no,review,release_id
2 Bad Mice,Sully & Falty DL Remixes,Sneaker Social Club,014,Prime class remix set feat. Jungle revivalism in superb modi of Sully & Falty DL - Highly recommended!,19500
Robert Hood,Clocks,M-Plant,MPM 030,Perfect inimitable Rob Hood Techno machinery,79498
Sean Dixon,Chord North,Hotmix,021,"Stomping, classic, blue to light, swinging, spaced out Detroit Techno from the well",19575
Skee Mask,Compro,Ilian Tape,LP 004,Delightful & imaginative Ambient Electronica album,79679
Alex Cortex,Knorke EP,Rawax,S 06,"Stunning, dry, direct tracks work out in Cortex sound signature & Chicago traxxx traditions",37416
Ryan James Ford,Memory Screen,SHUT,004,"Ace, hard jacking & stepping, subtly atmospheric Techno stormer",09040
Container,LP,Spectrum Spools,048,"Tough, well saturated, out there & direct Techno Punk - Highly Recommended (download card included)",19798
154,"Wherever You Go, I Will Follow",Boomkat Editions,12X006,"Idiosyncratic, fantastic, epic Ambient House bliss",21149
Atom Heart,Pure Function,After 6 AM,001,"As uplifting as diverse, spaced out tripping, Acid flavored, ace 1995 Techno / Ambient Techno gem",79714
Alex Cortex,Paid Content EP,Range,002,"Twisted jacking, tough Techno psychedelics",79843
SW:SVN,SW:SVN,Apollo,1805,Guest appearance of the original Sued crew w/ classy Chill-out Techno / Ambient,20010
Various Artists,Antwerp Bio Techno 1989-92 EP 2,Nacht En Nevel,002,Reissue of still stunning mid 1990s Ambient & ‘intelligent’ Techno gems,21302
Château Flight,Dam House EP,Versatile,123,Expertly led intergalactic House excursion,18800
Maukook,Enter Maukook EP,Ages Genesis,002,"Saturated, atmospheric, storming, Acid centered Techno & chilled, twisted Electro",19822
You’re Me,Plant Cell Division,Knowing Something,002,"Stunningly fresh sounding, richly imaginative, pure Ambient album",21431
Ghost In The Machine,King Dead,Perc Trax,081,"Sweeping, hard hitting Techno killers",79983
Aux 88,Technology,Direct Beat,C4W-002,Reissue of classic Keith Tucker co-prod. 1993 Detroit Electro Bass / Techno  classic,00461
Vainio & Vigroux,Ignis,Cosmo Rhythmatic,008,Music from/for the final frontier: cutting edge Noise science & heavy Ambient beauties,19391
Response & Pliskin,Bureaucracy EP,Western Lore,004,"Classy, tough, diverse, old-school-not-oldschool Drum & Bass EP",17543
Robert Lippok,Applied Autonomy,Raster Music,181,"Closely focused, subtly textured Designer Techno - Highly recommended!",20239
Pessimist,Sprtlzm,Pessimist Productions,001,Ace down tempo excursion w/ ritualistic Industrial Ambient sound sphere - TIP!,17719
Dold,Express Route,Blue Hour,011,Killer Detroit inspired Techno bomb,80208
Ustad Zia Mohiuddin Dagar,Raga Yaman (Rudra Veena // Seattle // 15 March 1986),Ideologic Organ,029,Definitive of an unearthed treasure: vinyl reissue of masterfully performed Hindustani Classical music (w/ download code),20084
The Transcendence Orchestra,Modern Methods for Ancient Rituals,Mego,Editions 246,Anthony Child and Daniel Bean wade into leftfield territory in quest for the perfect Drone - Recommended! (in gatefold sleeve w/ download card),25083
Brett Naucke,The Mansion,Spectrum Spools,045,"Astonishing, high density IDM / Ambient Electronica (w/ download code)",20942
Belong,October Language,Spectrum Spools,046,"Dense & intense, richly textured, Noise / Ambient textures (w/ download card)",21323
Mbulelo,The Robotic People,Transmat,089,"Blinding, warm, current UKG compatible South African House goodness!",79705
Iannis Xenakis,Persepolis,Karl,044,Somewhat ultimate vinyl edition of pure 1972 sonic futurism - download card included,20931
Excell,Procesió,Doq,XX4,"Direct, hard stomping Techno EP",80472
Martsman,Kerner,Hidden Hawaii,4444,Outstanding upfront Drum & Bass & developed Industrial Techno derived steppers - Highly Recommended!,04444
Myself 69,Gilga V,Hidden Hawaii,Gilga 5/6,Superb set of partly downtempo beat science driven Ambient Electronica (one per customer),28274
Das Nichts,Sunfall,Hidden Hawaii,Gilga 6/6,"Sparse, minimalist, mesmerising Ambient / Ambient Techno excursions",18797
Toma Kami,Sharp Tool In The Shed / Land Of The Insane,Livity Sound,032,"Glistening, percussion infused Ambient grooves",18839
Felix K,FLXK1 #1,Nullpunkt,0000 003,Remarkable explorative Techno cuts,79516
XOR Gate,Conic Sections,Tresor,299,"Gerald Donald prod. crystal clear, idiosyncratic, Electronic sound scapes",21334
Etch,Altered Roads Vol. 1,Altered Roads,001,Etch’s drum-break centred chop-up science in Drum & Bass mode - Tip!,21583
Etch,Altered Roads Vol. 2,Altered Roads,002,"Crafty, Hip Hop trained beatscience in full effect w/ idiosyncratic Etch twist",19477
The Grid,One Way Traffic (Blue TB7 Series),Moog,102,Droning vintage Electronics to retro-futuristic Electro bits,20207
Mika Vainio,Lydspor One & Two (Blue TB7 Series),Moog,109,"Extended Drones in pure, sonical explorer mode",20209
Hieroglyphic Being,The Replicant Dream Sequence (Blue PA14 Series),Moog,121,Ingenious intergalactic Techno in fearless explorer mode,20208
Yennek,Serena X,Mint Condition,021,Eternal Kenny Larkin prod. Techno beauty w/ Carl Craig appearance when he was still in the zone,15894
Bnjmn,Body Reflections Pt. 2,Tresor,297,"Densely atmospheric, fresh & crisp Techno / IDM explorer (w/ download card)",27997
Surgeon,Luminosity Device,Dynamic Tension,LP 004,A true Techno explorer: fresh sounding & highly effective at the same time - Essential album! (download card included),21151
Via Maris,Glow Wall / CU2,Livity Sound,031,"Wonderful, swirling Ambient wrapped, supreme Bristol school groove explorer - Highly recommended!",19554
Deadboy,Klint,Trule,001,"Sparse, classy UK Tech House / UKG hybrids",18492
Outboxx & Atki 2,Tribute to Disc Shop Zero,Idle Hands,013,"Stunning, fresh, imperative takes on Electronic Dub & ‘funky’ UK House",78454
Andy Mac,Diving Bird 3,Idle Hands,052,"Shuffled grooving, spaced out House & Ambient w/ dubbed out PST & Dreesen version",18944
East Man,"Red, White & Zero",Planet Mu,395,Uniquely reduced take on Grime w/ echoed UK Hardcore Continuum - Tip!,21067
Various Artists,Patina Echoes,Timedance,LP 001,Full range showcase on Grime rooted Bristolian beat science - TIP!,20051
Pangaea,Bone Sucka,Hessle Audio,033,UK Hardcore continuum knowledge applied & pulsating UK Techno freshness - TIP!,21444
Dold,Mother,Arsenik,010,Perfect pure big room Techno killer EP,79236
Ascion,Your Finest Nightmare,Oaks,009,Lethal Acid Techno missiles,79989
The Chosen Brothers,March Down Babylon,Wackies,714,"Stone classic Bullwackies, sensationally featuring two unreleased dubs (w/ download code)",11714
Headless Horseman,47 14,47,014,Prime Industrial Techno strength,21481
London Modular Alliance,Turn Off The Light EP,A.R.T.,019,Ace Techno / Electro explorer,21359
D Man,Workshop 25,Workshop,25,"Classic, idiosyncratic Workshop style House: uplifting groovers blended w/ chilled drifters",02500
Pom Pom,EP,Ostgut Ton,111,"Heavy, dark, partly distorted & noisy Goth Techno smart bomb",20268
Various Artists,Appendix – Double Mixpack E.P.,Fiedeltwo,3,"Tough, jacking, rhythm & groove focused pure Techno workouts",02323
Belief Defect,Decadent Yet Depraved,Raster Music,178,A gothic take on IDM science wrapped in cinematic Ambient Metal akin sound sphere,25284
Mr. Fingers,Cerebral Hemispheres,Alleviated Music,9017,"Perfect, soulful, diverse House / Lounge Ambient education by the enlightener Larry Heard",79246
Ustad Zia Mohiuddin Dagar,Ragas Abhogi & Vardhani (Rudra Veena // Seattle // 9 March 1986),Ideologic Organ,028,Definitive of an unearthed treasure: vinyl reissue of masterfully performed Hindustani Classical music (w/ download code),20085
Annette Brissett,Love Power,Wackies,1723,"Terrific early 80s album, full of personality and charm, with timely freshness and hybridity (w/ download code)",11723
Pulsinger & Irl,Exu,Big Beak,004,"Uplifting, expertly balanced blend of driving Disco Dub & House vibes",79878
Electric Indigo,5 1 1 5 9 3,Imbalance,09 V,"Forward thinking integration of Designer Electronics & crisp, twisted Techno grooves",00900
Forest Drive West,Apparitions,Livity Sound,033,Impressively wide ranged excursion into UK Tech House & its derivatives - Tip!,18538
Thomas Fehlmann / Terrence Dixon,We Take It from Here,Tresor,302,Stunning blend of out-there Techno voodooism & intergalactic Beatdown House,20257
Pinch,Walking With Shadows,81,014,"Techno affine, dark & heavy Grime beat science",21587
Okzharp & Manthe Ribane,Closer Apart,Hyperdub,HDB LP 041,"Chilled Ambient leaning, futurist South African rooted Cyber-Pop / Grime hybrid in ever stunning Hyperdub mode (download card included)",19607
Ploy,Remixes 2,Timedance,011,High profile remix set w/ Avant-Techno pioneers Beatrice Dillon & Peder Mannerfelt,28750
Blawan,Wet Will Always Dry,Ternesc,005,"As good as Techno can get in 2018 - immense, inspired Techno explorer - Highly Recommended!",19999
No Smoke,International Smoke Signals,Warriors Dance,LP 3,"Proper reissue of idiosyncratic 1990 UK House blending Reggae, Hip Hop, early UK Hardcore - Highly Recommended!",42367
The Fear Ratio,Live EP,Skam,035,James Ruskin & Mark Broom prod. ace IDM-Electro adventure,21331
Pinch,The Boxer / Swish (Kromestar Remixes),Tectonic,103,"Futurist, techy dream-team Grime science",18862
Excell,Mètis,Doq,XX3,"Flawless, idiosyncratic pure Techno stomper",79284
Various Artists,Berghain 08,Ostgut Ton,108,"Exclusive cuts of Fiedel’s tough, jacking pure Techno Mix for Berghain",79138
Answer Code Request,Gens,Ostgut Ton,LP 028,"Imaginative integration of UK hardcore continuum tinges IDM, big room Techno & Ambient trips (w/ download code)",78917
Martyn,Voids,Ostgut Ton,LP 029,Awesome Martyn-in-top-form works in idiosyncratic & unique Techno / UKG integration mode (w/ download code) - Highly Recommended!,19461
Various Artists,Sichten 1,Raster Music,180,"Crisp, classic Electro-Accoustic adventures tinged IDM & Avant-Electronics",18748
SP-X,Under New Light,Rekids,SPX 009,Boomy Detroit Techno trained Techno banger,18597
Rommek,Metamorphic - Set In Stone Trilogy Remixes,Blueprint,052.2,"Crisp, jacking, tough, original Birmingham crew centered remix set",18722
3KZ,A Love Supreme,Arts,033,"Perfect, immense, Z.I.P.P.O & Kaelan prod. Acid Techno rhapsody",79223
Ryan James Ford,Alist Flirc,MDR,023,"Uplifting, saturated, proper Techno full-range set",02300
#.4.26.,Mono Middle,MDR,024,"Heavily saturated, twisted, adventurous Breakbeat Techno explorer",02401
Mappa Mundi / Quin²,Antwerp Bio Techno 1989-92 EP 1,Nacht En Nevel,001,Reissue of still stunning mid 1990s Ambient Techno gems,79265
Drums Off Chaos,Centre,Nonplace,046,"Impressive, more metallophone sounding, pure drum music - Highly Recommended!",20966
Various Artists,Themes And Variations,Osiris Music,054,Simply the best label in exploring Techno / Drum & Bass / Industrial Ambient hybrids,18918
Ruff Cherry,Carousel EP,Well Street,RC 1,"Outstanding, beautiful, chilled blend of Bristolian vintage Dubstep & dubbed out Ambient UKG - TIP!",17228
Benoit B,Vague à l'Âme EP,Wisdom Teeth,009,Blinding EP blending Bristolian pulsating Grime related Electronica w/ spaced out Electro - Highly Recommended!,19421
Stanislav Tolkachev,It Will Be Too Late Then,Krill Music,X 002,"Absolutely killer, singularly visionary & inspiring Ukrainian Techno transmissions in Argentinian manufacturing",78396
EQD,#008,Equalized,008,"Fresh, full on & saturated ‘in-ya-face’ Techno trip",18008
Equiknoxx,Fly Away,Swing Ting,002,"Unique, futuristic, wonky Dancehall bomb",21556
Jung An Tagen,Agent Im Objekt,Mego,Editions 248,‘puristic clubsounds for an accelerated future’ - ace Designer Techno,20874
Skeptical,"Enjoy This Trip 10"" Sampler",Exit,079,In addition to the album - Skeptical in deadly precise Grime & Dub excursion mode,19431
JK Flesh,Wasplike EP,Inner Surface Music,014,"Freshly approached, banging Techno cuts w/ effective, dare-to-be different results - TIP!",19497
Kamikaze Space Programme,Void Coefficient,Mord,048,Lethal advanced Techno robotics in perfect sound design - Recommended!,79227
Calibre,Break That EP,The Nothing Special,027,Magically touched take on Deep House & UKG & its derivatives - Highly Recommended!,15287
Deadboy,Psychic Hotline,Unknown To The Unknown,084,Excellent mini album w/ 'Future' UKG & its blurry Ambient derivatives,19532
Transllusion,A Moment Of Insanity,Clone,CAL 012,Previously unreleased goodness from Drexciya's James Stinson side project,79796
Via Maris,Shelleys,Mistry,009,A true stunner on every forward thinking Mistry - classy leftfield Grime / UKG / Techno centred,20240
Catharsis,A Purging Of Demons,Zhark,029,"Powerful, stepping, Industrial Techno bomb",21529
Various Artists,The Drip EP,Accidental,Jnr. 108,Herbert’s crew ingenious House Music expanding rhythm textures in full effect - Highly Recommended!,19277
Skeleton Army,Catchy Schisms,Killer Smile,001,Stunningly cool oldschool-not-oldschool UK House & UKG affine tunes,19016
Various Artists,The Fifth Column LP,Rupture LDN,LP 001,Repressed: real & original Drum & Bass science (one per customer),21292
Troy,Algol,Klockworks,021,"Fast paced, uplifting, driving big room Techno power trips",02100
Am Kinem,Am Kinem,Out To Lunch,1801,"Unique blend of Jazz infused, Beatdown affine & late night DJ tool Deep House",79515
