artist,release,label,review
Abner Jay,Depression,Mississippi,NA
Ain't No Grave,The Life And Legacy Of Brother Claude Ely,Dust To Digital,"The flaming Appalachian gospel you can hear in Little Richard, James Brown, Elvis, especially Jerry Lee. Songs and sermons, 300-plus pages of riveting oral history, lyrics, 290 photos. Total Dust To Digital class."
AMC TEST ARTIST,,Ace,Thsi is a test product
Albert Ammons,Boogie Woogie Stomp,Blue Note,NA
Anthology Of American Folk Music,,Smithsonian Folkways Recordings,Harry Smith’s monument.
Lavern Baker,La Vern,Rumble,"Her 1956 Atlantic debut, key to the splitting of jazz singing into rhythm and blues and soul. Lavern was Memphis Minnie’s niece. Her stage-name in her teens was ‘Miss Sharecropper’."
Lavern Baker,Sings Bessie Smith,Warners Japan,NA
Bandera Doo Wop,,Ace,"For Your Precious Love started out as a Bandera recording (subsequently leased to Vee-Jay), made by co-owner Vi Muszynski — and there are eleven Impressions sides here, seven of them previously unissued."
Pastor T.L. Barrett,Like A Ship... (Without A Sail),Numero,"Gospel soul classic from 1971, with Gene Barge, Phil Upchurch and Richard Evans, besides the rapturous Youth For Christ Choir. Good enough for Donny Hathaway, good enough for us."
Beef Ball Baby!,The New Orleans R&B Sessions,Ace,NA
The Big Beat,The Dave Bartholomew Songbook,Ace,Hats off every time to the founding father of New Orleans rhythm and blues. DB holds the master recipe for soul-ska-rhumba-blues gumbo. Just check the tracklisting for a sense of his achievement. Don.
Big Bill Broonzy,All The Classic Sides 1928-1937,JSP,NA
Big Bill Broonzy,Do That Guitar Rag 1928-1935,Yazoo,"Thoroughly entertaining downhome blues, intricate ragtime, hokum and instrumental guitar stomps."
Big Bill Broonzy,The Young Big Bill Broonzy 1928-1936,Yazoo,NA
Big Maybelle,The Okeh Sessions,Pure Pleasure,NA
Black Cat Trail,,Mamlish,"Roars out of the traps with Elmore James and JT Brown on fire; then a brilliant version of Tommy Johnson’s Big Fat Mama, by Arthur Spires from Chicago; then Johnny Howard’s mad Vacation Blues, with said black cat fallen asleep on the sustain pedal of the piano. Other highlights are Robert Nighthawk’s mean slide guitar and moral rigour, Rev Utah Smith’s preaching, and the last recording of the great Baby Face Leroy Foster, with his luscious, slyly wasted drawl somewhere between Sonny Boy Williamson and Percy Mayfield."
Bobby Bland,"The Voice: Duke Recordings, 1959-69",Ace,NA
